query	rank	left	top	width	height
新疆舞蹈视频大全	9	15	1128	538	120
新疆舞蹈视频大全	10	15	1262	538	85
倾世皇妃	1	15	5	538	169
倾世皇妃	2	15	188	538	343
倾世皇妃	3	15	545	538	109
倾世皇妃	4	15	668	538	105
倾世皇妃	5	15	787	538	109
倾世皇妃	6	15	910	538	174
倾世皇妃	7	15	1098	538	85
倾世皇妃	8	15	1197	538	109
倾世皇妃	9	15	1320	538	109
倾世皇妃	10	15	1443	538	85
全国劳动模范先进事迹	1	15	5	538	85
全国劳动模范先进事迹	2	15	104	538	168
全国劳动模范先进事迹	3	15	286	538	268
全国劳动模范先进事迹	4	15	568	538	85
全国劳动模范先进事迹	5	15	667	538	108
全国劳动模范先进事迹	6	15	789	538	109
全国劳动模范先进事迹	7	15	912	538	85
全国劳动模范先进事迹	8	15	1011	538	85
全国劳动模范先进事迹	9	15	1110	538	85
全国劳动模范先进事迹	10	15	1209	538	85
qq空间电影	1	15	5	538	85
qq空间电影	2	15	104	538	111
qq空间电影	3	15	229	538	210
qq空间电影	4	15	453	538	129
qq空间电影	5	15	596	538	145
qq空间电影	6	15	755	538	85
qq空间电影	7	15	854	538	85
qq空间电影	8	15	1066	538	110
qq空间电影	9	15	1190	538	85
我的纪录片	1	15	5	538	85
我的纪录片	2	15	104	538	129
我的纪录片	3	15	247	538	109
我的纪录片	4	15	370	538	210
我的纪录片	5	15	594	538	120
我的纪录片	6	15	728	538	175
我的纪录片	7	15	917	538	104
我的纪录片	8	15	1035	538	85
我的纪录片	9	15	1134	538	120
我的纪录片	10	15	1268	538	120
ysl口红57号	1	15	5	538	85
ysl口红57号	2	15	104	538	192
ysl口红57号	3	15	310	538	125
ysl口红57号	4	15	449	538	109
ysl口红57号	5	15	572	538	109
ysl口红57号	6	15	695	538	109
ysl口红57号	7	15	818	538	120
ysl口红57号	8	15	952	538	111
ysl口红57号	9	15	1077	538	109
ysl口红57号	10	15	1200	538	125
坐庄+迅雷高清	1	15	5	538	85
坐庄+迅雷高清	2	15	104	538	85
坐庄+迅雷高清	3	15	203	538	109
坐庄+迅雷高清	4	15	326	538	85
坐庄+迅雷高清	5	15	425	538	125
坐庄+迅雷高清	6	15	564	538	85
坐庄+迅雷高清	7	15	663	538	85
坐庄+迅雷高清	8	15	762	538	85
坐庄+迅雷高清	9	15	861	538	85
坐庄+迅雷高清	10	15	960	538	85
怎样看股票走势图	1	15	5	538	243
