@relation output_weak

@attribute char_length numeric
@attribute word_length numeric
@attribute baidu_vertical_types_number numeric
@attribute baidu_vertical_results_number numeric
@attribute baidu_vertical_results_area_fraction numeric
@attribute baidu_total_images_number numeric
@attribute baidu_total_images_area_fraction numeric
@attribute sogou_vertical_types_number numeric
@attribute sogou_vertical_results_number numeric
@attribute sogou_vertical_results_area_fraction numeric
@attribute sogou_total_images_number numeric
@attribute sogou_total_images_area_fraction numeric
@attribute delta_vertical_types_number numeric
@attribute delta_vertical_results_number numeric
@attribute delta_vertical_results_area_fraction numeric
@attribute delta_total_images_number numeric
@attribute delta_total_images_area_fraction numeric
@attribute preference {different,tie}

@data
11,2,3,9,0.924275,6,0.074014,4,5,0.659091,2,0.02851,-1,4,0.265184,4,0.045504,tie
30,5,3,10,1,11,0.180406,3,10,1,9,0.142156,0,0,0,2,0.03825,different
12,2,6,8,0.878745,8,0.114218,4,10,1,5,0.06795,2,-2,-0.121255,3,0.046268,different
20,5,4,9,0.932325,10,0.152206,3,10,1,1,0.016125,1,-1,-0.067675,9,0.136081,tie
24,4,5,10,1,21,0.240012,5,10,1,13,0.174589,0,0,0,8,0.065422,tie
36,6,2,4,0.475848,0,0,5,6,0.7,1,0.01568,-3,-2,-0.224152,-1,-0.01568,different
30,5,5,10,1,17,0.240183,3,10,1,2,0.028872,2,0,0,15,0.211311,tie
24,5,3,8,0.843893,8,0.13672,5,10,1,2,0.028113,-2,-2,-0.156107,6,0.108607,tie
27,5,2,6,0.668498,4,0.061788,1,7,0.800331,0,0,1,-1,-0.131833,4,0.061788,tie
21,3,1,1,0.155579,0,0,3,3,0.531538,1,0.013992,-2,-2,-0.375959,-1,-0.013992,tie
27,5,3,7,0.752458,3,0.045223,4,10,1,0,0,-1,-3,-0.247542,3,0.045223,tie
12,2,3,9,0.93123,10,0.162675,4,9,0.916746,1,0.017406,-1,0,0.014483,9,0.14527,tie
27,3,3,8,0.847397,6,0.090851,3,9,0.925577,1,0.01556,0,-1,-0.078181,5,0.075292,tie
12,2,3,8,0.863673,1,0.02525,3,9,0.920909,1,0.016536,0,-1,-0.057236,0,0.008715,different
15,3,5,8,0.852686,9,0.147043,5,8,0.861022,2,0.03467,0,0,-0.008336,7,0.112373,different
16,3,3,5,0.564995,0,0,7,9,0.936865,5,0.072854,-4,-4,-0.37187,-5,-0.072854,tie
18,2,6,8,0.862348,4,0.076437,2,3,0.469512,1,0.015844,4,5,0.392836,3,0.060593,tie
18,3,7,10,1,7,0.095176,5,9,0.931978,1,0.014221,2,1,0.068022,6,0.080955,tie
17,4,3,3,0.427334,5,0.095028,4,4,0.576642,1,0.014752,-1,-1,-0.149308,4,0.080276,different
33,6,2,4,0.507205,1,0.016204,3,5,0.61674,0,0,-1,-1,-0.109535,1,0.016204,tie
27,5,2,8,0.836224,7,0.113754,5,8,0.845196,1,0.016182,-3,0,-0.008972,6,0.097571,tie
21,4,4,9,0.925242,6,0.092178,5,9,0.930567,6,0.088869,-1,0,-0.005325,0,0.003309,tie
9,2,4,6,0.715957,3,0.050919,3,9,1,4,0.060115,1,-3,-0.284043,-1,-0.009196,tie
9,2,5,10,1,17,0.210437,5,10,1,7,0.090869,0,0,0,10,0.119568,different
26,6,2,7,0.778838,10,0.168144,2,7,0.760989,4,0.074752,0,0,0.017849,6,0.093392,tie
17,3,3,8,0.850824,11,0.176532,5,7,0.788782,2,0.031883,-2,1,0.062042,9,0.144649,tie
18,2,3,9,0.932486,9,0.178725,3,3,0.513966,2,0.100071,0,6,0.41852,7,0.078654,tie
15,3,5,6,0.752055,13,0.229502,6,9,0.937048,10,0.14438,-1,-3,-0.184993,3,0.085122,tie
23,6,3,4,0.491018,3,0.050503,2,4,0.4375,0,0,1,0,0.053518,3,0.050503,tie
18,4,2,3,0.42976,1,0.01559,4,10,1,1,0.012649,-2,-7,-0.57024,0,0.002941,tie
19,3,5,10,1,4,0.05088,6,9,1,0,0,-1,1,0,4,0.05088,different
12,2,5,10,1,7,0.096307,7,10,1,6,0.091374,-2,0,0,1,0.004933,tie
25,5,3,8,0.842447,7,0.109431,5,8,0.8283,1,0.01415,-2,0,0.014146,6,0.095281,different
20,5,2,5,0.560277,5,0.086896,3,6,0.767599,0,0,-1,-1,-0.207322,5,0.086896,different
12,2,6,9,0.954424,11,0.113899,5,8,0.899364,25,0.067911,1,1,0.05506,-14,0.045988,tie
16,3,4,9,0.935361,22,0.296103,4,10,1,6,0.098335,0,-1,-0.064639,16,0.197768,tie
9,1,5,10,1,4,0.064492,4,8,0.854149,2,0.072087,1,2,0.145851,2,-0.007595,tie
12,2,2,9,0.925044,6,0.089249,4,7,0.775194,1,0.015667,-2,2,0.14985,5,0.073582,tie
20,4,3,6,0.69697,6,0.083085,4,7,0.734756,1,0.027679,-1,-1,-0.037786,5,0.055406,different
24,5,3,8,0.846014,7,0.110213,3,9,0.920693,5,0.090992,0,-1,-0.074678,2,0.019221,tie
36,5,3,9,0.928989,10,0.167976,4,9,0.921124,1,0.016491,-1,0,0.007865,9,0.151485,tie
27,4,2,8,0.838557,7,0.112133,2,6,0.636743,0,0,0,2,0.201813,7,0.112133,different
9,2,3,6,0.699473,3,0.044468,3,5,0.628205,2,0.028699,0,1,0.071268,1,0.015768,tie
12,2,5,8,0.852308,9,0.135809,5,10,1,5,0.074104,0,-2,-0.147692,4,0.061705,tie
30,5,2,7,0.758065,1,0.016004,3,7,0.778814,2,0.072881,-1,0,-0.020749,-1,-0.056878,tie
21,3,5,10,1,10,0.138557,4,9,0.933231,6,0.03484,1,1,0.066769,4,0.103717,tie
25,7,5,8,0.872372,10,0.149263,4,10,1,7,0.087493,1,-2,-0.127628,3,0.06177,different
18,3,4,8,0.929694,5,0.13901,5,5,0.671578,3,0.085679,-1,3,0.258116,2,0.053331,different
9,2,6,10,1,18,0.227958,5,10,1,19,0.192238,1,0,0,-1,0.03572,different
12,2,5,5,0.586576,4,0.068336,4,6,0.672008,1,0.007693,1,-1,-0.085432,3,0.060643,tie
36,5,1,3,0.348302,0,0,4,4,0.52973,1,0.016387,-3,-1,-0.181427,-1,-0.016387,tie
18,2,4,6,0.735202,5,0.092135,4,8,0.900075,2,0.029373,0,-2,-0.164872,3,0.062762,tie
15,2,3,7,0.768182,7,0.110139,3,4,0.548443,1,0.015735,0,3,0.219739,6,0.094404,tie
18,3,3,5,0.57052,3,0.064634,4,4,0.55,2,0.074991,-1,1,0.02052,1,-0.010357,tie
27,5,2,6,0.687213,8,0.140696,4,8,0.831884,0,0,-2,-2,-0.144672,8,0.140696,tie
14,3,2,5,0.545455,4,0.071324,4,9,0.934378,1,0.017815,-2,-4,-0.388924,3,0.053509,tie
18,3,2,3,0.337416,2,0.037568,2,7,0.772251,6,0.084806,0,-4,-0.434835,-4,-0.047238,different
24,5,3,6,0.686057,5,0.081199,5,10,1,5,0.080434,-2,-4,-0.313943,0,0.000765,tie
15,2,2,5,0.592912,4,0.064628,3,3,0.381952,1,0.019086,-1,2,0.21096,3,0.045542,different
21,4,7,9,0.928451,5,0.136013,5,7,0.840924,3,0.088152,2,2,0.087527,2,0.047861,tie
9,2,2,4,0.515866,5,0.089514,3,6,0.753191,2,0.0258,-1,-2,-0.237326,3,0.063714,tie
18,3,2,6,0.687392,1,0.014567,2,8,0.848168,1,0.015872,0,-2,-0.160775,0,-0.001305,tie
36,6,2,3,0.397578,1,0.017021,2,4,0.464819,0,0,0,-1,-0.067241,1,0.017021,tie
24,5,6,8,0.880336,17,0.221247,5,7,0.768936,1,0.017439,1,1,0.1114,16,0.203808,tie
16,3,5,6,0.673704,3,0.048564,3,5,0.716843,0,0,2,1,-0.043139,3,0.048564,tie
15,2,5,10,1,8,0.123928,6,10,1,13,0.162141,-1,0,0,-5,-0.038213,tie
30,6,3,5,0.621886,1,0.015007,3,7,0.77825,0,0,0,-2,-0.156364,1,0.015007,different
19,4,3,7,0.780739,10,0.161283,5,10,1,1,0.017241,-2,-3,-0.219261,9,0.144042,tie
12,2,5,5,0.649376,2,0.035864,4,5,0.746632,4,0.101059,1,0,-0.097257,-2,-0.065195,tie
27,5,4,8,0.854202,12,0.188512,2,9,0.909657,0,0,2,-1,-0.055455,12,0.188512,different
30,5,2,3,0.386598,0,0,3,5,0.582934,0,0,-1,-2,-0.196336,0,0,tie
19,4,6,10,1,11,0.160528,4,10,1,7,0.108879,2,0,0,4,0.05165,tie
18,3,5,10,1,19,0.238824,6,10,1,6,0.070606,-1,0,0,13,0.168218,tie
18,5,3,3,0.464007,0,0,4,4,0.626074,1,0.013029,-1,-1,-0.162068,-1,-0.013029,tie
19,5,3,6,0.724026,5,0.080872,4,8,0.850772,1,0.0156,-1,-2,-0.126746,4,0.065272,different
18,4,4,8,0.871988,15,0.216498,4,9,0.938559,5,0.070493,0,-1,-0.066571,10,0.146005,different
17,5,4,5,0.590164,1,0.016266,5,8,0.861244,1,0.014505,-1,-3,-0.27108,0,0.001761,tie
