char_length,word_length,baidu_vertical_types_number,baidu_vertical_results_number,baidu_vertical_results_area_fraction,baidu_total_images_number,baidu_total_images_area_fraction,baidu_rank_by_type_1,baidu_position_y_1,baidu_height_1,baidu_distance_by_type_1,baidu_title_char_length_1,baidu_title_word_length_1,baidu_title_matches_1,baidu_snippet_char_length_1,baidu_snippet_word_length_1,baidu_snippet_matches_1,baidu_vertical_type_1,baidu_images_number_1,baidu_images_area_fraction_1,baidu_is_vertical_1,baidu_is_identical_url_1,baidu_had_image_1,sogou_vertical_types_number,sogou_vertical_results_number,sogou_vertical_results_area_fraction,sogou_total_images_number,sogou_total_images_area_fraction,sogou_rank_by_type_1,sogou_position_y_1,sogou_height_1,sogou_distance_by_type_1,sogou_title_char_length_1,sogou_title_word_length_1,sogou_title_matches_1,sogou_snippet_char_length_1,sogou_snippet_word_length_1,sogou_snippet_matches_1,sogou_vertical_type_1,sogou_images_number_1,sogou_images_area_fraction_1,sogou_is_vertical_1,sogou_is_identical_url_1,sogou_had_image_1,delta_vertical_types_number,delta_vertical_results_number,delta_vertical_results_area_fraction,delta_total_images_number,delta_total_images_area_fraction,delta_position_y_1,delta_height_1,delta_title_char_length_1,delta_title_word_length_1,delta_title_matches_1,delta_snippet_char_length_1,delta_snippet_word_length_1,delta_snippet_matches_1,delta_images_number_1,delta_images_area_fraction_1,delta_is_vertical_1,delta_is_identical_url_1,delta_had_image_1,preference
18,3,3,4,0.504373177843,2,0.0504893407177,1,5.0,169.0,0,13,3,1,506,105,13,encyclopedia,1,0.186313543477,1,0,1,5,8,0.884462151394,3,0.047335506459,1,5.0,230.0,0,54,12,3,0,0,0,forum,0,0.0,1,0,0,-2,-4,-0.380088973552,-1,0.00315383425869,0.0,-61.0,-41,-9,-2,506,105,13,1,0.186313543477,0,0,1,baidu
36,6,3,5,0.644758735441,1,0.017027073836,1,5.0,129.0,0,31,6,4,331,68,15,encyclopedia,1,0.158655370162,1,0,1,3,10,1.0,0,0.0,1,5.0,178.0,0,40,8,4,0,0,0,reading,0,0.0,1,0,0,0,-5,-0.355241264559,1,0.017027073836,0.0,-49.0,-9,-2,0,331,68,15,1,0.158655370162,0,0,1,baidu
31,6,2,9,0.929693961952,12,0.185283238167,1,5.0,230.0,0,65,13,8,0,0,0,video,4,0.355939873929,1,0,1,3,6,0.710241465445,6,0.0982575126788,1,5.0,223.0,0,50,10,6,0,0,0,video,4,0.366049735018,1,0,1,-1,3,0.219452496507,6,0.0870257254884,0.0,7.0,15,3,2,0,0,0,0,-0.0101098610891,0,0,0,sogou
9,1,3,3,0.417924528302,3,0.0602160342288,1,5.0,185.0,0,34,6,1,204,41,3,forum,0,0.0,1,0,0,4,8,0.853924418605,5,0.0998150105708,1,5.0,113.0,0,16,3,1,0,0,0,others,0,0.0,1,0,0,-1,-5,-0.435999890303,-2,-0.039598976342,0.0,72.0,18,3,0,204,41,3,0,0.0,0,0,0,sogou
12,2,4,7,0.776902887139,6,0.101139309259,1,5.0,107.0,0,77,16,2,230,52,2,forum,0,0.0,1,0,0,4,7,0.775965665236,1,0.01561295357,1,5.0,134.0,0,86,18,2,0,0,0,forum,0,0.0,1,0,0,0,0,0.000937221903056,5,0.0855263556892,0.0,-27.0,-9,-2,0,230,52,2,0,0.0,0,0,0,baidu
18,4,3,8,0.862236628849,1,0.0136693920095,1,5.0,131.0,0,88,20,2,0,0,0,forum,0,0.0,1,0,0,3,3,0.489949748744,1,0.00205573321151,1,5.0,87.0,0,50,12,6,216,42,6,organic,0,0.0,0,1,0,0,5,0.372286880106,0,0.011613658798,0.0,44.0,38,8,-4,-216,-42,-6,0,0.0,1,-1,0,sogou
15,3,3,7,0.779411764706,0,0.0,1,5.0,188.0,0,32,7,2,220,56,6,reading,0,0.0,1,0,0,4,8,0.861022364217,1,0.0145280278827,1,5.0,178.0,0,29,7,3,0,0,0,reading,0,0.0,1,0,0,-1,-1,-0.0816105995114,-1,-0.0145280278827,0.0,10.0,3,0,-1,220,56,6,0,0.0,0,0,0,sogou
21,3,3,8,0.850220264317,9,0.153441527603,1,5.0,148.0,0,28,5,3,223,53,3,reading,0,0.0,1,0,0,4,10,1.0,14,0.134514927048,1,5.0,394.0,0,61,13,2,190,45,3,others,8,0.414360867559,1,0,1,-1,-2,-0.149779735683,-5,0.0189266005544,0.0,-246.0,-33,-8,1,33,8,0,-8,-0.414360867559,0,0,-1,baidu
15,2,4,7,0.774734982332,5,0.084042126972,1,5.0,85.0,0,50,8,2,206,42,3,organic,0,0.0,0,1,0,4,10,1.0,4,0.0636236094381,1,5.0,90.0,0,50,8,2,0,0,0,image_text,0,0.0,1,1,0,0,-3,-0.225265017668,1,0.0204185175339,0.0,-5.0,0,0,0,206,42,3,0,0.0,-1,0,0,sogou
33,6,2,9,0.913570274637,11,0.180397991724,1,5.0,210.0,0,67,13,7,0,0,0,video,4,0.389838909542,1,0,1,1,8,0.836170212766,0,0.0,1,5.0,92.0,0,94,18,4,0,0,0,video,0,0.0,1,0,0,1,1,0.0774000618706,11,0.180397991724,0.0,118.0,-27,-5,3,0,0,0,4,0.389838909542,0,0,1,baidu
