query	baidu_vertical_types_number	baidu_vertical_results_number	baidu_vertical_results_area_fraction	baidu_total_images_number	baidu_total_images_area_fraction	sogou_vertical_types_number	sogou_vertical_results_number	sogou_vertical_results_area_fraction	sogou_total_images_number	sogou_total_images_area_fraction	delta_vertical_types_number	delta_vertical_results_number	delta_vertical_results_area_fraction	delta_total_images_number	delta_total_images_area_fraction	
护理业务学习内容	3	6	0.704604691573	4	0.0717139452036	4	7	0.751191611058	0	0.0	-1	-1	-0.0465869194856	4	0.0717139452036	
账号申诉	4	5	0.672825250192	8	0.113490216953	5	7	0.841463414634	4	0.05696621886	-1	-2	-0.168638164442	4	0.0565239980927	
北盟外语	4	7	0.776902887139	6	0.101139309259	4	7	0.775965665236	1	0.01561295357	0	0	0.000937221903056	5	0.0855263556892	
关于《逃离》的毕业论文题目	2	3	0.331460674157	0	0.0	4	9	0.922112802149	0	0.0	-2	-6	-0.590652127991	0	0.0	
希望谷班级园地登录	4	5	0.569778633301	3	0.0627748299587	3	4	0.527687296417	1	0.0167091106505	1	1	0.0420913368843	2	0.0460657193083	
徐悲鸿研究会	3	3	0.500419815281	3	0.157416684614	5	7	0.776923076923	2	0.0743496503497	-2	-4	-0.276503261642	1	0.0830670342645	
丽江旅游股票	3	3	0.514285714286	1	0.0137698201957	3	6	0.805223880597	2	0.0271478968792	0	-3	-0.290938166311	-1	-0.0133780766835	
变形计李勒优	4	10	1.0	16	0.212660527205	5	10	1.0	10	0.159829894032	-1	0	0.0	6	0.0528306331728	
天津最低工资标准2015	2	4	0.522471910112	3	0.0473821060106	4	5	0.620087336245	1	0.0158856689162	-2	-1	-0.0976154261322	2	0.0314964370944	
铁血战士2	5	8	0.877961234745	7	0.107123509208	4	10	1.0	3	0.0358455139632	1	-2	-0.122038765255	4	0.0712779952451	
干眼症	4	10	1.0	6	0.0572272489927	4	10	1.0	10	0.0420237617887	0	0	0.0	-4	0.015203487204	
怎样处理英语学习压力++英语作文	1	5	0.558300395257	0	0.0	2	4	0.486220472441	0	0.0	-1	1	0.072079922816	0	0.0	
我的世界手机版建立服务器	4	10	1.0	15	0.162525685066	4	8	0.828063241107	0	0.0	0	2	0.171936758893	15	0.162525685066	
